epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,208.044,1.32022,4.20312,0.85267,0.29301,0.14874,0.11803,0.08263,1.10192,2.21159,0.83441,0.000135806,0.000135806,0.000135806
3,312.2,1.23491,3.16711,0.8438,0.39612,0.25964,0.1933,0.13384,1.03777,1.88512,0.82856,0.000203143,0.000203143,0.000203143
4,416.816,1.19583,2.59935,0.84095,0.40949,0.31742,0.2442,0.17159,0.99878,1.66886,0.8237,0.000202211,0.000202211,0.000202211
5,521.728,1.16389,2.23861,0.83809,0.49105,0.3285,0.29512,0.21119,0.97905,1.55133,0.82243,0.000200828,0.000200828,0.000200828
6,626.489,1.12988,2.02047,0.83499,0.47257,0.36119,0.32896,0.23537,0.95084,1.46111,0.81866,0.000199058,0.000199058,0.000199058
7,731.507,1.12414,1.85648,0.82996,0.41487,0.43375,0.35158,0.25336,0.93815,1.42228,0.81734,0.000196909,0.000196909,0.000196909
8,836.68,1.09787,1.75185,0.83019,0.41973,0.43632,0.36983,0.26912,0.93343,1.37134,0.81795,0.000194389,0.000194389,0.000194389
9,941.487,1.07725,1.67258,0.82942,0.43153,0.43105,0.40227,0.29168,0.92395,1.28935,0.81788,0.000191509,0.000191509,0.000191509
10,1046.37,1.07572,1.6109,0.83062,0.48438,0.43656,0.41684,0.30353,0.90917,1.25845,0.81647,0.00018828,0.00018828,0.00018828
11,1151.7,1.06246,1.56421,0.82986,0.52067,0.44519,0.44175,0.32158,0.90172,1.20514,0.81352,0.000184715,0.000184715,0.000184715
12,1256.63,1.04823,1.49156,0.82648,0.50036,0.46673,0.45117,0.32948,0.90423,1.20526,0.81596,0.000180826,0.000180826,0.000180826
13,1361.77,1.03596,1.43032,0.82914,0.56124,0.46488,0.47303,0.35025,0.88374,1.14929,0.81326,0.000176631,0.000176631,0.000176631
14,1466.71,1.05661,1.41584,0.82565,0.52452,0.48861,0.48201,0.35712,0.88446,1.11702,0.81131,0.000172146,0.000172146,0.000172146
15,1571.64,1.03167,1.36223,0.82543,0.58262,0.44842,0.49685,0.36933,0.87743,1.11889,0.81217,0.000167387,0.000167387,0.000167387
16,1677.31,1.02919,1.33999,0.82306,0.59239,0.48675,0.50236,0.37363,0.86742,1.05426,0.81237,0.000162375,0.000162375,0.000162375
17,1782.81,1.01605,1.31385,0.8253,0.61088,0.51422,0.52598,0.38849,0.87026,1.0446,0.81253,0.000157128,0.000157128,0.000157128
18,1888.62,1.00799,1.28022,0.82266,0.63189,0.49247,0.53453,0.39677,0.86169,1.01987,0.81255,0.000151667,0.000151667,0.000151667
19,2031.25,1.00873,1.26075,0.82262,0.60632,0.51248,0.54282,0.40781,0.85206,0.99004,0.81236,0.000146015,0.000146015,0.000146015
20,2150.13,0.99264,1.21898,0.82263,0.6576,0.51341,0.55553,0.41547,0.84573,0.9781,0.81118,0.000140193,0.000140193,0.000140193
21,2255.63,0.9902,1.2012,0.82145,0.64155,0.49357,0.56818,0.42533,0.8448,0.95287,0.80939,0.000134225,0.000134225,0.000134225
22,2361.51,0.99124,1.20035,0.82244,0.61329,0.5444,0.5811,0.43538,0.84553,0.93897,0.81042,0.000128133,0.000128133,0.000128133
23,2466.75,0.99566,1.1892,0.82272,0.687,0.50405,0.58666,0.43912,0.82876,0.91494,0.80778,0.000121942,0.000121942,0.000121942
24,2572.7,0.97101,1.15858,0.81829,0.66581,0.53677,0.60294,0.45216,0.82868,0.9013,0.80814,0.000115676,0.000115676,0.000115676
25,2678.32,0.9702,1.13556,0.81964,0.69394,0.51885,0.6116,0.46007,0.82798,0.87013,0.80697,0.000109361,0.000109361,0.000109361
26,2783.7,0.97212,1.10749,0.82271,0.66243,0.56475,0.6107,0.46259,0.82129,0.86324,0.80658,0.00010302,0.00010302,0.00010302
27,2889.27,0.9581,1.09458,0.81661,0.68403,0.55484,0.61901,0.4678,0.82199,0.84468,0.80723,9.66794e-05,9.66794e-05,9.66794e-05
28,2994.67,0.95143,1.07308,0.81882,0.69482,0.57348,0.63209,0.48017,0.81127,0.82247,0.807,9.03639e-05,9.03639e-05,9.03639e-05
29,3100.16,0.96658,1.06759,0.81784,0.72355,0.56525,0.6424,0.48576,0.81442,0.80558,0.80626,8.40982e-05,8.40982e-05,8.40982e-05
30,3205.93,0.94978,1.03824,0.814,0.73591,0.5567,0.65057,0.49031,0.81418,0.79436,0.80638,7.79073e-05,7.79073e-05,7.79073e-05
31,3311.56,0.95199,1.03873,0.81534,0.74226,0.5633,0.65641,0.49463,0.80839,0.78956,0.80464,7.18155e-05,7.18155e-05,7.18155e-05
32,3417.03,0.9444,1.00063,0.81747,0.71796,0.58903,0.66675,0.50291,0.8069,0.77114,0.80519,6.58468e-05,6.58468e-05,6.58468e-05
33,3523.71,0.92996,0.99584,0.81757,0.70426,0.59986,0.66753,0.50645,0.8024,0.7512,0.80503,6.00248e-05,6.00248e-05,6.00248e-05
34,3629.38,0.93696,0.9824,0.81798,0.73233,0.57758,0.66715,0.50674,0.79839,0.7559,0.80429,5.43725e-05,5.43725e-05,5.43725e-05
35,3734.62,0.93004,0.97421,0.81669,0.72615,0.5971,0.67484,0.51222,0.79778,0.74188,0.80449,4.89122e-05,4.89122e-05,4.89122e-05
36,3840.49,0.93842,0.96879,0.81292,0.74884,0.58312,0.67845,0.51541,0.79115,0.72756,0.8042,4.36654e-05,4.36654e-05,4.36654e-05
37,3945.43,0.93289,0.95661,0.81544,0.72787,0.61586,0.68104,0.51633,0.79796,0.72387,0.80444,3.86529e-05,3.86529e-05,3.86529e-05
38,4050.85,0.92993,0.94487,0.81652,0.719,0.62527,0.68482,0.52084,0.79135,0.72029,0.80354,3.38944e-05,3.38944e-05,3.38944e-05
39,4156.37,0.90387,0.92767,0.81404,0.72168,0.60742,0.6878,0.52315,0.79053,0.71333,0.80337,2.94087e-05,2.94087e-05,2.94087e-05
40,4261.61,0.92337,0.93299,0.81361,0.72865,0.61386,0.68915,0.52428,0.78867,0.7092,0.80335,2.52136e-05,2.52136e-05,2.52136e-05
41,4380.23,0.87503,0.84032,0.81257,0.74619,0.58997,0.68723,0.5203,0.7947,0.70966,0.803,2.13255e-05,2.13255e-05,2.13255e-05
42,4485.63,0.86873,0.83099,0.81317,0.75576,0.59004,0.69015,0.52607,0.78909,0.70608,0.80297,1.77598e-05,1.77598e-05,1.77598e-05
43,4591.14,0.87517,0.827,0.81112,0.74463,0.60173,0.69581,0.53188,0.78475,0.69865,0.80202,1.45306e-05,1.45306e-05,1.45306e-05
44,4696.37,0.87017,0.81635,0.81262,0.75781,0.59503,0.6939,0.5297,0.78507,0.70028,0.80257,1.16506e-05,1.16506e-05,1.16506e-05
45,4801.85,0.85909,0.80758,0.80941,0.72281,0.61863,0.69554,0.53223,0.78046,0.69589,0.80207,9.13117e-06,9.13117e-06,9.13117e-06
46,4906.61,0.87097,0.81472,0.81125,0.74418,0.61362,0.69518,0.53066,0.78437,0.692,0.80229,6.98231e-06,6.98231e-06,6.98231e-06
47,5012.03,0.86643,0.81478,0.81299,0.71425,0.6256,0.69524,0.5325,0.78161,0.6934,0.80202,5.21247e-06,5.21247e-06,5.21247e-06
48,5117.02,0.85943,0.80987,0.8106,0.71838,0.62288,0.69628,0.532,0.78273,0.69225,0.80227,3.82863e-06,3.82863e-06,3.82863e-06
49,5222.36,0.85932,0.79931,0.81163,0.71087,0.62824,0.69565,0.53053,0.78314,0.68999,0.80218,2.83626e-06,2.83626e-06,2.83626e-06
50,5327.77,0.87057,0.80711,0.81186,0.72312,0.62034,0.69561,0.53056,0.78159,0.68983,0.802,2.23926e-06,2.23926e-06,2.23926e-06
1,195.182,1.65842,2.98257,0.96457,0.45996,0.19759,0.13237,0.07688,1.39178,2.14723,0.90743,0.0700134,0.00333184,0.00333184
2,409.318,1.49196,2.25494,0.93268,0.47915,0.24045,0.18961,0.10687,1.48174,1.98953,0.9254,0.0400118,0.00666355,0.00666355
3,666.457,1.40109,2.07238,0.91577,0.47633,0.28708,0.21966,0.13043,1.41766,1.86404,0.90819,0.0100037,0.00998874,0.00998874
1,355.914,1.53264,2.72044,0.96328,0.49382,0.23271,0.14203,0.07381,1.5598,2.48375,0.97978,0.0100805,0.00999106,0.00999106
2,779.224,1.33245,2.05327,0.91307,0.47644,0.25907,0.2233,0.13429,1.35962,1.87506,0.90862,0.00999756,0.00999756,0.00999756
3,1170.46,1.25064,1.8591,0.89714,0.45377,0.32606,0.28247,0.16967,1.22678,1.65851,0.879,0.00999023,0.00999023,0.00999023
4,1494.85,1.19849,1.74966,0.88483,0.53036,0.33487,0.28416,0.18236,1.14984,1.62748,0.86975,0.00997803,0.00997803,0.00997803
5,1803.81,1.16081,1.66866,0.87653,0.49873,0.36119,0.33609,0.20042,1.31366,1.53558,0.89111,0.00996097,0.00996097,0.00996097
6,2120.09,1.13503,1.59751,0.87352,0.48252,0.37,0.36245,0.22166,1.21511,1.49716,0.87745,0.00993906,0.00993906,0.00993906
7,2444.2,1.09942,1.54055,0.8686,0.48527,0.401,0.38199,0.2393,1.22283,1.41315,0.88106,0.00991232,0.00991232,0.00991232
8,2760.57,1.0876,1.49576,0.86622,0.48554,0.43251,0.40025,0.26244,1.13487,1.35547,0.86332,0.00988079,0.00988079,0.00988079
9,3080.59,1.08126,1.42844,0.86247,0.42325,0.4816,0.42374,0.26227,1.24294,1.32578,0.87495,0.00984449,0.00984449,0.00984449
10,3429.58,1.06486,1.39552,0.86027,0.46481,0.46068,0.42854,0.27072,1.19798,1.31365,0.87179,0.00980345,0.00980345,0.00980345
11,3746.61,1.06158,1.35979,0.85865,0.49937,0.49611,0.46889,0.29849,1.24975,1.23627,0.87515,0.00975773,0.00975773,0.00975773
12,4082.16,1.05121,1.33601,0.85914,0.50807,0.50513,0.46793,0.30899,1.1414,1.21043,0.86403,0.00970736,0.00970736,0.00970736
13,4420.06,1.03683,1.28717,0.85373,0.52242,0.48861,0.50053,0.31451,1.24759,1.17429,0.87389,0.00965239,0.00965239,0.00965239
14,4760.34,1.02991,1.25657,0.85415,0.55855,0.47859,0.49969,0.3315,1.13738,1.17499,0.86391,0.00959289,0.00959289,0.00959289
15,5087.25,1.0228,1.23455,0.8567,0.55791,0.50017,0.51994,0.34398,1.13131,1.14893,0.85497,0.00952889,0.00952889,0.00952889
16,5433.64,1.01127,1.21104,0.84859,0.60575,0.50481,0.53359,0.35007,1.11997,1.13899,0.85957,0.00946048,0.00946048,0.00946048
17,5759.75,0.99434,1.20309,0.8518,0.58752,0.52274,0.53918,0.36626,1.06043,1.07896,0.85041,0.00938772,0.00938772,0.00938772
18,6076.31,0.98236,1.15863,0.84734,0.55922,0.52811,0.5446,0.37398,1.00255,1.05894,0.84311,0.00931067,0.00931067,0.00931067
19,6396.01,0.96911,1.13963,0.84491,0.60845,0.53503,0.58098,0.40328,0.97051,1.01035,0.83727,0.00922942,0.00922942,0.00922942
20,6708.33,0.9596,1.10822,0.84229,0.57097,0.55942,0.57856,0.40729,0.95332,1.00587,0.83435,0.00914405,0.00914405,0.00914405
21,7022.93,0.94171,1.07407,0.84389,0.6336,0.53232,0.59878,0.42665,0.92121,0.95704,0.83175,0.00905463,0.00905463,0.00905463
22,7337.84,0.93523,1.05194,0.84153,0.6275,0.55844,0.61592,0.4416,0.91951,0.9227,0.82971,0.00896127,0.00896127,0.00896127
23,7655.02,0.92651,1.04532,0.83728,0.64508,0.56641,0.60931,0.43279,0.95803,0.93337,0.8332,0.00886404,0.00886404,0.00886404
24,7979.77,0.914,1.01745,0.83834,0.6554,0.56158,0.62834,0.45119,0.9049,0.90582,0.82502,0.00876305,0.00876305,0.00876305
25,8298.44,0.90676,1.00755,0.83788,0.66497,0.59255,0.64523,0.4699,0.88214,0.85199,0.82384,0.00865839,0.00865839,0.00865839
26,8620.98,0.90443,0.99796,0.83521,0.64905,0.59715,0.64795,0.47921,0.86149,0.84659,0.82118,0.00855018,0.00855018,0.00855018
27,8950.36,0.89388,0.96465,0.83208,0.67254,0.58476,0.66177,0.48144,0.89326,0.81398,0.82209,0.00843851,0.00843851,0.00843851
28,9280.32,0.88369,0.94871,0.83051,0.74006,0.59362,0.68875,0.50848,0.84884,0.78067,0.81953,0.00832349,0.00832349,0.00832349
29,9599.87,0.88049,0.92203,0.82841,0.74634,0.58832,0.68921,0.50439,0.87992,0.77523,0.82126,0.00820525,0.00820525,0.00820525
30,9927.92,0.88192,0.91926,0.83121,0.76888,0.58162,0.69731,0.50908,0.87194,0.75041,0.82228,0.00808389,0.00808389,0.00808389
31,10245.5,0.87669,0.917,0.82889,0.7435,0.59829,0.69658,0.51681,0.8364,0.73523,0.81792,0.00795954,0.00795954,0.00795954
32,10557.1,0.8601,0.90346,0.82956,0.75529,0.6033,0.70624,0.52853,0.82834,0.72548,0.81713,0.00783231,0.00783231,0.00783231
33,10875.2,0.87061,0.88349,0.83113,0.72766,0.62398,0.70844,0.52598,0.83746,0.72205,0.81804,0.00770234,0.00770234,0.00770234
34,11182.4,0.84797,0.86181,0.82703,0.7782,0.6168,0.72047,0.53524,0.82116,0.69891,0.81661,0.00756976,0.00756976,0.00756976
35,11486.8,0.85495,0.84419,0.82792,0.75266,0.62323,0.72183,0.54077,0.81584,0.68737,0.81576,0.00743468,0.00743468,0.00743468
36,11788.3,0.85328,0.85164,0.82698,0.76421,0.65354,0.73666,0.5457,0.83499,0.67435,0.81693,0.00729725,0.00729725,0.00729725
